,time,AirFlow,Air_Flow_Diff,ClgPct,Cooling_Stg_Cmd,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,Heating_Stg_Cmd,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
0,2025-01-27 14:30:00,899.4649999999999,,100.0,,100.0,61.18,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,486.0,0.0,68.46000000000001,,57.655,67.0,69.0,85.0,55.0,,
1,2025-01-27 14:45:00,885.6933333333333,-966.21,100.0,,100.0,61.61000000000001,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,486.0,0.0,68.58333333333333,1.480000000000004,58.17,67.0,69.0,85.0,55.0,,
2,2025-01-27 15:00:00,880.7466666666666,-997.99,100.0,,100.0,61.97666666666667,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,487.3333333333333,0.0,68.70666666666666,1.6200000000000043,58.52666666666667,67.0,69.0,85.0,55.0,,
3,2025-01-27 15:15:00,896.2866666666667,-1004.35,100.0,,100.0,62.35666666666666,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,487.0,0.0,68.86333333333333,1.75,58.973333333333336,67.0,69.0,85.0,55.0,,
4,2025-01-27 15:30:00,908.2933333333334,-974.69,100.0,,100.0,62.74333333333333,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,486.6666666666667,0.0,68.99,1.8900000000000008,59.35666666666666,67.0,69.0,85.0,55.0,,
5,2025-01-27 15:45:00,901.9366666666666,-955.62,100.0,,100.0,63.120000000000005,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,491.6666666666667,0.0,69.15333333333332,2.0200000000000102,59.79666666666666,67.0,69.0,85.0,55.0,,
6,2025-01-27 16:00:00,893.46,-993.76,100.0,,100.0,63.42,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,498.3333333333333,0.0,69.32333333333334,2.219999999999999,60.07666666666668,67.0,69.0,85.0,55.0,,
7,2025-01-27 16:15:00,876.5099999999999,-991.64,100.0,,100.0,63.68333333333334,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,501.0,0.0,69.46333333333332,2.4000000000000057,60.336666666666666,67.0,69.0,85.0,55.0,,
8,2025-01-27 16:30:00,868.7400000000001,-1031.9,100.0,,100.0,63.99666666666667,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,500.3333333333333,0.0,69.61333333333333,2.5400000000000063,60.73333333333333,67.0,69.0,85.0,55.0,,
9,2025-01-27 16:45:00,896.9900000000001,-1010.71,100.0,,100.0,64.29333333333334,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,502.3333333333333,0.0,69.77,2.700000000000003,61.080000000000005,67.0,69.0,85.0,55.0,,
10,2025-01-27 17:00:00,884.9833333333332,-955.62,100.0,,100.0,64.49666666666667,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,503.0,0.0,69.92333333333333,2.8500000000000085,61.153333333333336,67.0,69.0,85.0,55.0,,
11,2025-01-27 17:15:00,872.9833333333332,-1010.71,100.0,,100.0,64.72666666666667,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,503.0,0.0,70.08666666666666,2.990000000000009,61.46666666666667,67.0,69.0,85.0,55.0,,
12,2025-01-27 17:30:00,901.23,-995.87,100.0,,100.0,64.89333333333333,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,503.6666666666667,0.0,70.23,3.1300000000000097,61.656666666666666,67.0,69.0,85.0,55.0,,
13,2025-01-27 17:45:00,867.6800000000001,-987.4,100.0,,100.0,65.2,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,506.0,0.0,70.375,3.260000000000005,62.055,67.0,69.0,85.0,55.0,,
14,2025-01-27 18:00:00,,-1010.71,,,,,1875.21,,66.99,,,74.0,,70.0,,0.0,,3.4000000000000057,,67.0,69.0,85.0,55.0,,
15,2025-01-27 18:15:00,,-1010.71,,,,,1875.21,,66.99,,,74.0,,70.0,,0.0,,3.4000000000000057,,67.0,69.0,85.0,55.0,,
16,2025-01-27 18:30:00,883.57,-1010.71,100.0,,100.0,65.71,1875.21,0.0,66.99,,0.0,74.0,0.0,70.0,521.0,0.0,70.86,3.4000000000000057,,67.0,69.0,85.0,55.0,,
